NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,Rec,Catch %,TD
"Austin Corbett","C","CAR","",59,48,74,70,41,"","","","","","","","","","","","","",292,58,93.9,,,
"Andre Dillard","OT","GB",2,"","","","","","","","","","","",4,"","","",9,"","",13,1,1.2,,,
"Arlington Hambright","G","TEN",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Austin Jackson","OL","MIA","",71,76,60,60,78,"",69,65,61,"","","","","","","","","",540,67,99.8,,,
"Alaric Jackson","OL","LAR",1,"","",58,61,78,"",55,72,77,70,52,64,56,77,65,52,57,"",894,63,93.1,,,
"Alec Lindstrom","C","NYJ","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Abraham Lucas","OT","SEA",1,"","","","","","","","","","",42,64,64,64,59,64,52,"",409,58,95.8,,,
"Atonio Mafi","G","IND","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Andrus Peat","G","OAK",2,"",27,"",4,2,2,3,1,11,"","",7,"","","","","","",57,3,5.1,,,
"Austen Pleasants","G","SF",2,"","","","","","","","","","","","","","","","","","",0,22,32.8,,,
"Andrew Raym","C","CAR","","","","","","","","","","","","","","","","","","","",0,0,0,,,
"Andrew Rupcich","G","TEN","",15,"","","","","","",1,"","","","","","","","","","",16,2,3.5,,,
"Austin Schlottmann","C","NYG",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Andrew Stueber","OT","CIN",2,"","","","","","","","",1,"","","","","",4,"","","",5,0,0.7,,,
"Andrew Thomas","OT","NYG","",71,56,72,69,72,79,"","","","","","","","","","","","",419,69,100,,,
"Ben Bartch","G","SF","","","","","","","","","","","","",7,48,10,"","","","",65,21,7.9,,,
"Ben Brown","C","NE",1,"","","","","",66,60,67,69,64,76,69,72,"",51,73,"","",667,66,92.6,,,
"Brenden Jaimes","OL","LAC",2,"","","","","","","","","","","","","","","","",10,"",10,1,0.9,,,
"Braxton Jones","OT","CHI",2,56,70,89,60,72,63,"",18,"","",72,76,67,53,"",24,"","",720,60,71.1,,,
"Beaux Limmer","OL","LAR",1,41,52,58,61,78,"",55,72,77,"",52,64,56,77,65,52,57,"",917,57,84.1,,,
"Bill Murray","G","CHI","","","","","",37,3,"",2,"","","","","","","","","","",42,14,8.8,,,
"Brandon Parker","OT","ATL",2,"","","","","","","","","","","","","","","","","","",0,0,0,,,
"Braden Smith","OT","IND","",45,56,56,66,70,70,61,64,54,64,70,55,"","","","","","",731,60,67.2,,,
